"sex","marital","date1a","date2a","act87a","act87b","party","race","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart4","date4a","date4b","stud","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","age","zipcode","educ2","inc"
2,1,2,2,1,NA,4,1,NA,NA,NA,NA,NA,8,8,3,2,2,2,2,2,36,30016,3,6
1,6,2,2,NA,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,18,81415,3,98
2,1,2,2,1,NA,4,1,NA,NA,NA,NA,NA,8,1,3,2,2,2,2,2,55,85650,6,99
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,56,7827,3,98
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,47,63654,8,5
2,5,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,63,16505,5,2
2,1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,67,15301,3,7
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,1,3,1,2,2,2,2,66,15367,8,9
2,6,2,NA,2,NA,1,1,2,2,1,1,4,8,1,2,NA,NA,NA,NA,NA,63,60564,8,6
2,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,8,1,3,NA,NA,NA,NA,NA,49,98272,6,8
1,1,2,NA,NA,2,2,1,8,2,2,2,NA,8,8,3,NA,NA,NA,NA,NA,69,5346,8,8
1,1,NA,NA,NA,NA,2,2,2,2,2,1,NA,1,2,3,NA,NA,NA,NA,NA,79,92555,3,4
1,1,2,NA,2,NA,2,6,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,74,8360,2,3
1,1,2,2,2,NA,1,1,NA,NA,NA,NA,NA,9,9,3,NA,NA,NA,NA,NA,70,12566,3,9
1,1,2,NA,NA,2,4,1,2,1,8,2,NA,1,1,3,NA,NA,NA,NA,NA,53,29135,3,4
1,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,2,38,45502,3,2
1,1,2,2,NA,2,2,1,2,2,1,2,NA,2,2,3,NA,NA,NA,NA,NA,74,45056,1,5
2,6,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,64,60638,3,3
2,1,2,2,NA,2,3,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,68,29414,4,3
1,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,1,2,2,52,33467,6,7
2,4,2,2,NA,1,4,4,NA,NA,NA,NA,NA,2,8,3,1,1,2,2,2,49,23323,2,1
2,1,NA,NA,NA,NA,8,8,2,1,1,1,8,1,1,3,NA,NA,NA,NA,NA,33,93458,1,98
1,6,2,2,NA,2,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,53,10467,6,1
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,47,33331,6,8
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,61,32608,8,9
1,6,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,55,3773,3,7
1,3,2,2,NA,2,3,1,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,55,10914,4,7
2,5,2,NA,NA,2,9,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,72,43360,5,99
1,1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,65,63384,3,5
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,2,3,1,1,2,2,2,45,12417,5,99
2,5,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,62,63501,4,99
1,1,NA,NA,NA,NA,2,1,1,2,1,2,1,8,8,3,NA,NA,NA,NA,NA,65,27568,3,5
1,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,30,22973,5,7
2,5,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,67,17050,8,6
2,5,NA,NA,NA,NA,2,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,86,44857,2,2
2,3,1,2,NA,2,3,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,67,30165,6,4
2,1,2,2,NA,1,2,5,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,47,8043,8,9
2,1,2,2,NA,1,3,1,2,2,1,1,3,1,1,3,2,2,1,1,2,66,47850,4,6
2,3,2,2,NA,1,4,2,NA,NA,NA,NA,NA,1,1,3,1,2,1,1,2,43,33825,4,3
2,3,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,71,41011,4,4
2,1,2,2,2,NA,3,2,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,44,19146,2,3
1,1,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,52,10020,6,7
1,1,2,NA,2,NA,3,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,81,45040,4,99
1,1,2,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,69,72401,3,3
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,8,1,2,2,2,2,2,33,20646,8,7
1,1,NA,NA,NA,NA,3,1,2,2,1,2,6,1,1,3,NA,NA,NA,NA,NA,50,44883,3,99
2,1,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,77,33565,3,8
2,1,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,48,45662,5,6
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,55,33322,8,8
2,6,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,68,33166,3,4
2,1,2,2,NA,1,2,1,1,2,1,2,1,1,1,3,2,2,2,2,2,57,21048,8,4
2,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,68,53207,6,7
1,1,2,2,NA,1,2,2,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,32,53218,5,6
1,5,2,NA,NA,2,1,1,1,2,2,2,6,1,2,3,NA,NA,NA,NA,NA,86,78218,6,6
1,1,1,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,42,76226,8,9
2,1,NA,NA,NA,NA,3,1,8,8,2,2,NA,2,8,3,NA,NA,NA,NA,NA,76,62864,8,8
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,48,36832,8,8
1,1,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,62,54302,2,5
2,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,42,38833,5,3
2,1,NA,NA,NA,NA,1,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,78,45771,1,98
1,5,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,84,27534,5,4
1,6,2,2,NA,1,1,1,NA,NA,NA,NA,NA,2,2,1,1,2,2,1,2,18,11758,3,9
1,6,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,64,48198,4,2
1,6,2,2,1,NA,4,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,45,47802,5,3
2,3,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,51,40356,3,1
1,1,2,NA,2,NA,9,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,57,13830,4,6
2,5,NA,NA,NA,NA,3,1,2,2,1,2,6,1,1,3,NA,NA,NA,NA,NA,83,26836,2,98
1,1,2,2,2,NA,3,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,48,8094,3,8
2,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,45,55906,8,7
2,5,NA,NA,NA,NA,4,1,2,2,1,2,NA,2,2,3,NA,NA,NA,NA,NA,78,54895,4,99
2,1,2,NA,NA,2,1,1,2,2,2,2,NA,8,1,3,NA,NA,NA,NA,NA,80,28399,3,4
1,1,2,2,2,NA,3,1,NA,NA,NA,NA,NA,8,2,3,NA,NA,NA,NA,NA,60,55391,6,8
2,3,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,66,62206,6,3
1,1,2,NA,2,NA,4,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,80,47274,6,99
2,1,NA,NA,NA,NA,3,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,85,49868,6,2
2,5,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,69,6488,4,4
2,1,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,1,1,2,2,1,61,43214,8,8
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,42,49424,3,3
2,3,2,2,NA,1,3,4,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,44,19342,5,99
2,1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,9,3,NA,NA,NA,NA,NA,55,43204,4,6
2,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,55,27540,6,3
2,1,2,2,NA,2,2,2,1,1,2,2,6,2,2,3,NA,NA,NA,NA,NA,59,20659,3,8
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,1,2,2,46,72150,5,6
1,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,67,29621,8,8
