"sex","marital","date1a","date2a","act87a","act87b","party","race","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart4","date4a","date4b","stud","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","age","zipcode","educ2","inc"
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,42,8886,4,8
2,6,2,NA,NA,1,4,3,2,1,1,8,8,2,2,NA,1,1,1,8,1,30,74075,8,2
1,1,2,2,NA,2,3,1,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,60,64468,6,7
1,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,53,33904,4,7
1,1,2,2,NA,1,2,1,2,1,1,2,1,1,1,3,1,2,2,2,2,53,36587,2,4
2,3,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,38,32258,6,7
2,1,2,2,NA,2,1,1,2,1,2,2,5,1,1,3,NA,NA,NA,NA,NA,53,18073,6,9
2,1,1,2,NA,1,4,4,1,1,1,2,1,1,1,3,2,2,1,2,2,24,66736,4,5
2,3,2,2,NA,1,8,8,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,2,36,34986,6,99
1,5,NA,NA,NA,NA,3,1,2,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,53,15132,8,1
1,2,2,2,1,NA,2,1,NA,NA,NA,NA,NA,8,2,3,2,1,1,2,2,80,32218,6,8
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,52,8533,6,2
1,6,1,1,1,NA,2,2,NA,NA,NA,NA,NA,1,1,2,1,1,2,2,2,24,48208,7,3
1,6,1,1,NA,1,3,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,2,19,33463,3,2
2,5,2,2,NA,1,2,2,1,1,2,2,6,1,1,3,1,1,1,1,2,53,11207,3,4
2,1,2,NA,2,NA,1,1,9,2,1,2,9,1,1,3,NA,NA,NA,NA,NA,53,43832,3,6
1,6,2,2,NA,1,1,1,NA,NA,NA,NA,NA,2,2,3,1,2,2,2,2,21,29745,5,2
1,1,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,66,28513,5,6
1,1,2,2,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,65,45750,5,4
1,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,1,49,29708,8,7
2,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,68,33823,6,99
1,3,2,2,NA,2,3,2,1,2,2,2,4,1,2,3,NA,NA,NA,NA,NA,54,31408,5,6
2,1,2,2,NA,2,3,5,8,1,9,8,NA,2,1,3,NA,NA,NA,NA,NA,45,31061,8,7
1,6,2,NA,2,NA,3,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,19,43035,3,98
2,3,2,2,1,NA,3,1,NA,NA,NA,NA,NA,9,8,3,2,2,2,2,2,70,87109,6,99
2,1,NA,2,NA,NA,4,1,1,9,1,1,3,2,2,3,NA,NA,NA,NA,NA,65,33908,3,8
2,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,59,27265,4,8
1,6,NA,NA,NA,NA,2,1,2,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,57,94537,3,99
2,6,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,22,84067,4,1
2,5,2,NA,2,NA,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,66,59936,4,4
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,99,98252,3,6
2,5,2,2,NA,2,1,1,8,2,1,8,6,1,1,3,NA,NA,NA,NA,NA,77,36526,8,4
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,31,32246,8,8
2,4,1,1,NA,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,37,31047,7,2
1,6,2,2,1,NA,3,3,2,2,1,1,4,2,2,1,1,1,2,2,1,22,54311,6,5
1,2,2,2,NA,2,3,2,NA,NA,NA,NA,NA,1,8,3,NA,NA,NA,NA,NA,35,39823,3,4
1,6,2,2,NA,1,2,2,2,1,1,2,1,1,1,3,2,1,1,2,2,28,36612,3,3
2,3,1,2,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,1,2,1,2,2,52,43035,8,7
1,6,1,1,NA,2,3,1,1,1,2,2,6,1,1,1,NA,NA,NA,NA,NA,24,6468,4,6
2,6,2,2,NA,1,2,2,1,1,8,2,3,1,1,3,1,1,1,2,2,32,32204,5,2
2,1,2,NA,1,NA,8,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,65,36618,1,4
1,5,NA,NA,NA,NA,1,1,2,2,1,1,2,1,1,3,NA,NA,NA,NA,NA,65,58237,3,2
1,6,2,2,NA,1,4,1,2,1,2,2,5,1,1,3,2,2,2,2,2,25,37616,6,2
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,30,85331,3,8
1,1,1,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,35,94131,3,8
2,3,2,2,1,NA,4,1,1,8,1,1,1,2,2,3,2,2,1,2,2,28,80031,5,3
2,4,1,1,2,NA,4,4,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,51,61073,4,5
2,2,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,2,2,2,1,1,2,2,18,99635,4,8
1,1,NA,2,NA,NA,1,2,2,2,1,8,1,1,2,3,NA,NA,NA,NA,NA,47,55021,5,7
1,6,1,1,NA,8,2,6,2,2,2,2,6,1,1,3,NA,NA,NA,NA,NA,53,94564,8,8
2,5,NA,NA,NA,NA,2,1,1,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,76,93247,3,98
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,1,1,2,28,84335,3,8
1,4,2,2,NA,1,2,2,2,1,1,1,1,2,1,3,2,2,2,2,2,40,80010,3,2
1,6,2,2,1,NA,3,4,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,33,92805,3,5
2,4,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,61,99645,4,3
1,6,NA,NA,NA,NA,3,6,2,2,1,1,9,2,1,3,NA,NA,NA,NA,NA,58,99999,1,9
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,27,30529,3,7
1,5,2,2,1,NA,2,1,1,2,1,2,3,1,2,3,2,2,2,2,2,70,99999,1,2
1,1,NA,NA,NA,NA,1,1,2,2,2,8,4,1,1,3,NA,NA,NA,NA,NA,67,28360,2,5
1,6,1,1,NA,1,9,2,NA,NA,NA,NA,NA,1,1,3,1,2,1,8,2,28,20015,8,7
1,1,2,2,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,64,48230,4,3
1,2,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,29,21784,3,6
2,5,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,55,45424,4,2
1,6,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,1,2,2,1,2,2,19,19440,4,7
1,2,2,2,1,NA,1,6,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,32,10036,8,8
2,1,2,2,NA,1,3,2,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,56,45040,6,7
1,1,2,2,NA,1,9,9,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,47,21801,8,7
1,1,2,NA,1,NA,2,6,2,1,1,1,5,2,2,3,2,2,2,2,2,60,10031,1,6
2,5,1,1,NA,1,2,2,1,1,1,1,1,1,1,3,1,1,1,2,2,23,7011,3,1
1,1,NA,NA,NA,NA,3,1,1,1,2,2,NA,1,1,3,NA,NA,NA,NA,NA,68,19943,7,6
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,40,25427,8,8
2,6,2,2,1,NA,2,2,2,1,1,2,6,1,1,3,1,2,2,2,2,58,23882,5,4
2,3,1,2,1,NA,3,1,NA,NA,NA,NA,NA,1,8,2,2,2,1,2,2,63,99999,8,99
1,1,1,1,NA,1,2,3,NA,NA,NA,NA,NA,1,1,3,1,1,2,2,2,43,1854,4,8
1,1,1,1,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,42,54501,3,6
1,2,2,1,1,NA,3,2,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,24,77072,5,3
1,6,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,19,46835,4,1
2,6,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,20,7724,3,9
1,1,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,73,57301,8,6
1,6,2,2,NA,1,3,6,NA,NA,NA,NA,NA,1,2,3,2,1,2,2,2,21,20024,5,98
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,32,6234,8,99
2,2,2,NA,NA,1,3,1,2,1,1,1,1,2,2,3,2,2,2,2,2,35,90650,1,1
2,2,2,2,NA,2,3,1,1,1,1,1,3,2,8,3,NA,NA,NA,NA,NA,34,80212,2,1
2,5,2,2,NA,1,3,1,2,2,1,1,1,1,2,3,2,2,2,2,2,68,76265,3,1
1,1,2,NA,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,62,32566,8,99
2,6,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,29,19601,6,2
1,3,1,1,1,NA,3,2,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,48,21202,4,5
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,35,23231,5,6
2,3,2,2,NA,1,2,1,NA,NA,NA,NA,NA,8,8,3,2,2,1,2,2,66,41055,8,6
2,1,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,73,38603,3,99
1,1,2,NA,NA,2,3,1,2,1,1,2,6,2,2,3,NA,NA,NA,NA,NA,22,36445,2,3
2,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,64,77518,8,7
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,1,1,1,1,2,31,33138,8,9
2,1,2,2,1,NA,8,8,2,1,1,1,1,2,2,3,2,2,2,2,2,30,70512,1,98
1,1,2,2,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,55,40108,6,8
1,6,2,2,NA,1,1,1,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,2,20,80004,3,9
1,1,NA,NA,NA,NA,4,6,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,25,99999,98,98
2,3,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,66,91604,6,5
2,1,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,60,84061,5,6
1,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,30,80003,6,7
2,3,2,NA,2,NA,3,1,2,2,1,2,1,2,2,3,NA,NA,NA,NA,NA,68,70119,7,1
2,2,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,49,70116,2,1
1,3,NA,NA,NA,NA,9,1,1,1,1,9,NA,8,8,3,NA,NA,NA,NA,NA,69,86401,4,3
1,3,NA,2,NA,NA,3,1,2,1,1,2,1,2,2,3,NA,NA,NA,NA,NA,57,59868,4,4
2,1,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,70,53946,2,4
2,4,2,2,1,NA,2,2,1,1,1,2,1,1,1,3,1,2,1,1,2,38,36108,5,1
2,1,2,2,NA,1,3,3,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,37,91773,8,6
1,6,2,2,NA,1,2,3,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,2,20,98118,3,2
1,1,2,NA,NA,1,3,1,1,2,1,2,1,2,1,3,2,2,2,2,2,72,98271,5,5
1,5,2,NA,NA,2,3,4,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,68,90650,6,8
1,2,1,2,1,NA,3,2,NA,NA,NA,NA,NA,1,2,3,1,1,2,1,2,26,91307,6,2
1,1,2,NA,NA,1,3,6,NA,NA,NA,NA,NA,1,1,3,1,1,2,2,2,27,98032,7,4
2,1,NA,NA,NA,NA,2,6,2,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,72,95630,3,2
1,1,2,2,NA,2,3,1,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,50,98116,4,99
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,66,46787,4,99
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,36,77546,8,7
1,1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,71,73401,8,6
2,1,2,2,NA,1,3,1,2,1,2,2,NA,2,1,3,2,2,2,2,2,60,76009,8,99
1,6,1,1,NA,1,3,2,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,2,21,12604,3,1
2,6,2,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,2,23,15601,6,4
1,2,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,1,1,2,1,2,26,37421,6,5
1,1,2,NA,NA,2,3,9,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,99,15635,8,99
2,5,2,2,NA,2,1,6,2,1,1,1,8,1,1,3,NA,NA,NA,NA,NA,70,77013,1,3
1,6,1,NA,NA,1,3,9,NA,NA,NA,NA,NA,2,2,3,1,2,2,2,9,57,33411,7,1
1,1,2,2,NA,1,2,6,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,47,34746,1,2
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,34,57103,4,7
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,37,75229,2,5
1,6,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,1,1,1,2,1,30,34241,6,5
2,5,2,NA,NA,1,2,1,2,2,1,2,4,2,2,3,2,2,2,2,2,66,49618,3,2
2,2,2,2,NA,1,3,1,1,1,1,1,1,1,2,3,1,1,1,2,2,22,29440,1,1
2,6,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,22,19803,6,9
1,4,2,2,2,NA,4,1,1,2,1,1,5,2,2,3,NA,NA,NA,NA,NA,52,23222,8,7
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,26,4084,6,6
1,4,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,57,19401,6,9
1,4,NA,2,NA,NA,2,2,2,2,2,2,3,1,1,3,NA,NA,NA,NA,NA,64,72301,3,2
1,6,NA,NA,NA,NA,3,1,2,2,2,1,2,2,1,3,NA,NA,NA,NA,NA,50,52626,3,1
2,4,2,NA,2,NA,3,2,1,1,2,1,2,1,2,3,NA,NA,NA,NA,NA,52,70127,3,1
1,1,2,2,1,NA,3,1,1,9,1,2,1,1,1,3,2,2,2,2,2,46,15765,3,6
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,26,57004,3,2
1,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,2,1,3,2,2,1,2,2,60,52240,8,98
2,6,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,60,11746,6,2
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,53,59718,6,99
1,1,2,2,2,NA,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,64,70346,8,9
1,1,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,42,30096,3,3
2,3,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,54,43040,6,7
2,1,2,2,1,NA,2,2,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,53,36693,8,7
2,5,2,2,NA,1,2,2,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,99,20832,6,6
2,5,1,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,59,22903,8,99
1,3,2,2,NA,1,2,2,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,2,38,33319,8,2
2,1,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,47,8850,8,8
1,1,2,2,NA,1,3,1,2,2,1,2,4,1,2,3,2,2,2,2,2,34,71957,6,6
1,6,2,1,1,NA,3,1,2,1,2,2,NA,2,1,3,2,2,2,2,2,38,42060,3,6
1,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,8,1,1,2,1,2,2,29,77375,4,4
2,6,1,2,1,NA,3,2,NA,NA,NA,NA,NA,1,2,3,1,1,1,1,2,42,48383,6,6
1,3,2,NA,NA,2,3,1,1,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,62,37411,8,5
1,1,NA,NA,NA,NA,3,9,2,2,1,1,6,1,1,3,NA,NA,NA,NA,NA,57,99999,1,9
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,1,2,2,54,64506,6,6
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,2,3,1,1,1,1,2,31,79106,3,4
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,61,35759,6,99
1,1,2,2,1,NA,3,1,2,1,8,8,NA,1,1,2,2,2,2,2,2,60,17403,8,3
1,2,2,2,NA,1,3,1,2,2,2,1,3,2,1,3,1,2,2,1,2,30,85051,2,4
2,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,34,92115,6,7
2,5,NA,NA,NA,NA,3,1,2,2,1,2,NA,2,2,3,NA,NA,NA,NA,NA,67,78337,2,2
1,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,60,11558,8,9
1,2,2,NA,2,NA,8,1,2,2,1,1,8,8,2,3,NA,NA,NA,NA,NA,61,99999,1,98
1,1,2,NA,2,NA,3,1,1,2,1,1,8,8,8,3,NA,NA,NA,NA,NA,47,87105,2,5
2,2,2,2,2,NA,3,1,2,2,1,1,2,8,8,3,NA,NA,NA,NA,NA,47,31620,4,3
1,1,2,2,1,NA,3,2,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,42,71111,8,8
1,6,2,NA,2,NA,2,6,1,2,2,2,NA,1,1,1,NA,NA,NA,NA,NA,18,20903,3,5
1,6,2,1,NA,1,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,22,27615,6,9
1,1,2,2,NA,2,3,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,70,27017,8,7
2,1,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,63,46226,5,7
2,1,NA,NA,NA,NA,3,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,68,37857,3,1
1,1,2,2,NA,1,4,4,2,2,1,1,3,1,1,3,2,2,2,2,2,49,11233,3,1
2,4,2,NA,NA,1,4,1,NA,NA,NA,NA,NA,2,2,3,1,1,1,2,2,58,28602,3,1
1,6,2,2,NA,1,4,3,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,28,91303,6,5
1,1,2,2,1,NA,3,2,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,64,23231,4,7
2,6,2,1,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,1,2,1,2,2,48,15120,4,3
1,3,2,2,2,NA,2,2,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,99,30643,5,6
1,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,32,44306,3,7
1,2,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,2,3,1,2,2,2,2,50,3053,5,8
1,1,2,1,1,NA,3,1,NA,NA,NA,NA,NA,2,2,3,1,1,2,2,2,53,77381,3,4
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,43,54210,5,5
2,6,2,1,NA,1,2,2,1,2,1,1,1,1,1,3,2,2,2,2,2,49,60653,2,3
2,6,2,NA,2,NA,1,1,2,2,1,2,4,2,2,1,NA,NA,NA,NA,NA,22,31707,6,1
2,1,2,NA,2,NA,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,51,21048,8,98
2,1,2,NA,NA,2,3,1,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,56,24639,4,1
1,1,2,2,1,NA,1,1,1,1,2,1,4,1,1,3,2,2,1,2,2,36,11001,4,9
2,3,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,46,32738,6,4
2,1,2,NA,NA,2,4,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,71,30521,4,8
2,6,1,2,NA,1,2,3,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,2,25,19111,6,6
2,2,1,2,NA,2,2,1,NA,NA,NA,NA,NA,1,8,3,NA,NA,NA,NA,NA,56,11223,4,6
1,9,2,NA,NA,8,9,9,8,8,8,8,NA,9,9,3,NA,NA,NA,NA,NA,99,99999,99,99
1,2,2,2,NA,1,3,4,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,2,31,13501,5,6
1,6,2,2,NA,1,3,9,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,30,44113,8,99
1,6,2,1,1,NA,3,2,NA,NA,NA,NA,NA,1,1,3,1,2,1,1,2,24,23220,6,3
2,6,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,47,33566,8,5
1,6,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,1,1,1,2,2,28,19711,6,8
1,6,2,NA,2,NA,3,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,20,49417,3,6
2,6,2,2,2,NA,3,2,2,2,1,1,3,2,2,3,NA,NA,NA,NA,NA,48,45232,3,1
1,1,2,2,2,NA,1,1,2,2,1,1,3,1,1,3,NA,NA,NA,NA,NA,62,37645,5,6
1,1,2,2,1,NA,9,2,NA,NA,NA,NA,NA,1,1,3,1,1,1,2,2,65,33404,4,5
2,1,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,50,37725,3,7
1,3,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,56,33916,8,6
2,2,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,57,99999,3,6
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,60,17578,3,98
1,6,2,2,1,NA,3,3,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,2,23,29607,8,6
1,6,2,2,1,NA,3,6,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,2,20,49781,5,1
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,50,13830,5,99
1,6,1,1,1,NA,3,6,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,23,60506,8,2
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,60,34208,8,99
1,1,2,2,NA,2,1,2,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,50,93560,5,6
1,6,1,1,NA,1,2,1,NA,NA,NA,NA,NA,1,2,3,2,1,1,1,1,23,78247,3,2
1,6,2,2,NA,1,1,5,1,2,2,2,3,1,2,3,2,2,1,2,2,21,18434,8,6
2,2,NA,NA,NA,NA,2,1,2,2,1,8,NA,1,1,3,NA,NA,NA,NA,NA,63,90602,2,2
1,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,1,2,2,2,53,20132,8,98
2,6,2,2,1,NA,2,1,NA,NA,NA,NA,NA,2,2,3,1,1,1,1,2,22,22182,6,2
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,58,43160,3,3
2,1,2,2,NA,1,2,5,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,45,99576,8,9
2,1,2,2,NA,1,2,3,NA,NA,NA,NA,NA,2,2,1,1,2,1,1,2,32,96720,4,4
1,6,NA,NA,NA,NA,2,2,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,63,52403,3,3
1,3,1,1,NA,2,3,1,1,2,2,2,3,1,1,3,NA,NA,NA,NA,NA,41,99801,5,6
1,2,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,2,24,57701,4,5
1,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,57,75214,8,9
1,1,2,2,NA,1,9,1,NA,NA,NA,NA,NA,8,8,3,2,2,2,2,2,99,99999,6,99
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,1,2,2,67,85541,8,8
2,1,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,37,94954,8,4
1,6,2,2,NA,1,2,3,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,20,94587,3,9
2,2,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,1,1,1,2,2,38,97303,4,1
2,6,2,2,NA,1,2,4,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,41,89032,8,7
1,1,2,2,NA,2,1,1,2,2,2,2,NA,2,1,3,NA,NA,NA,NA,NA,33,17517,1,6
2,6,2,2,NA,1,4,1,2,9,1,1,1,2,2,2,2,2,2,2,2,45,6106,4,4
1,1,2,NA,NA,1,3,1,2,2,2,2,NA,1,1,3,2,2,2,2,2,26,99999,1,98
1,1,1,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,48,10022,8,9
1,1,NA,NA,NA,NA,3,1,2,2,1,2,9,1,2,3,NA,NA,NA,NA,NA,68,23924,4,99
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,2,41,27613,6,9
2,3,2,2,NA,2,9,1,2,2,1,1,3,8,1,3,NA,NA,NA,NA,NA,54,75228,4,1
2,3,1,1,NA,2,4,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,49,80134,6,98
2,1,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,65,73012,4,4
1,6,2,2,1,NA,5,4,NA,NA,NA,NA,NA,1,2,3,2,2,1,1,2,31,65049,6,7
1,1,2,2,NA,1,3,4,NA,NA,NA,NA,NA,1,1,3,1,1,2,1,2,26,30345,4,6
