"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Pedro Alves",11746,66,329,2,1
"Alessandro Mangiarrati",11747,60,120,56,1
"Marco Paulo",11752,64,131,2,1
"Ruben Amorim",11754,77,150,65,1
"Eliseu",11758,78,139,203,2
"Carlos Milhazes 22",11759,68,141,22,1
"Jorge Baptista",11760,65,316,5,1
"Roversio",11778,73,128,26,1
"Rui Baiao 22",11788,65,133,22,1
"Ferreira",11795,61,126,12,1
"Briguel",11796,66,112,103,1
"Zeca",11798,75,48,13,1
"Luis Olim",11801,65,126,39,1
"Fernando Cardozo",11827,69,136,25,1
"Bruno Patacas",11829,70,136,52,1
"de Oliveira Cleber Monteiro",11833,69,131,64,1
"Marcelo Pereira Bruno",11836,68,139,29,1
"Miguel Fidalgo",11840,68,131,24,1
"Pedro Moreira",11849,69,63,52,1
"Nuno Silva",11851,68,126,33,1
"Jose Manuel Ze Gomes",11860,67,139,59,1
"Bruno Mendes",11861,66,129,11,1
"Danielson",11863,71,111,175,1
"Ferreira Delson 28",11865,65,136,28,1
"Laranjeiro",11876,68,149,26,1
"Flavio Meireles",11897,70,134,28,1
"Ricardo Pessoa",11901,65,59,52,1
"Ersen Martin",12005,75,140,1,1
"Marcel MBayo 25",12099,66,121,25,1
"Tomas Kosicky",12209,66,330,7,1
"Adam Nemec",12245,70,121,12,3
"Stanislav Sestak",12246,77,122,50,1
"Robert Demjan",12283,68,101,97,2
"Jan Durica",12288,75,121,8,1
"Miroslav Bozok",12307,63,43,96,1
"Rudolf Urban",12310,57,40,8,1
"Dusan Pernis",12318,70,351,106,2
"Dalibor Pleva",12320,60,47,23,1
"Matej Izvolt",12327,62,52,33,1
"Peter Pekarik",12330,76,134,114,1
"Richard Zajac 28",12340,67,342,73,1
"Kamil Kopunek",12371,65,42,4,1
"Pavol Stano",12374,66,122,179,1
"Jan Slovenciak",12381,59,291,1,1
"Krisztian Nemeth",12386,71,101,52,1
"Elvedin Dzinic",12405,66,114,27,2
"Dragan Jelic",12418,64,54,3,1
"Jure Travner",12431,65,142,35,1
"Branko Ilic",12454,69,138,1,1
"Marko Suler",12473,72,121,65,2
"Zlatan Ljubijankic",12574,72,146,65,1
"Kanu",12692,71,137,40,1
"Nicolae Ovidiu Herea",12763,69,60,25,1
"Cristian Sapunaru",12766,77,132,80,2
"Christos Karypidis",12985,66,126,34,1
"Orestis Karnezis",13033,79,391,81,2
"Michalis Sifakis",13034,76,377,7,1
"Tomislav Pacovski",13131,68,330,70,1
"Ioannis Maniatis",13191,75,51,3,1
"Fabian Pawela",13225,62,53,29,1
"Kamil Kuzera",13301,65,109,46,1
"Krzysztof Kotorowski",13320,66,332,70,1
"Pawel Sasin",13327,64,125,41,1
"Blazej Telichowski",13329,62,131,99,1
"Lukasz Madej",13334,68,147,140,2
"Pawel Kieszek",13345,75,374,143,2
"Antoni Lukasiewicz",13349,68,129,77,1
"Wojciech Szymanek",13350,61,53,32,1
"Jakub Rzezniczak",13376,70,126,142,1
"Maciej Korzym",13383,67,114,127,1
"Wojciech Skaba",13390,63,312,60,1
"Marcin Malinowski",13405,65,116,158,1
"Mariusz Zganiacz",13410,71,51,39,1
"Marcin Wasilewski",13423,72,139,84,2
"Wahan Gevorgyan",13425,63,53,34,1
"Slawomir Peszko",13428,75,132,117,2
"Krzysztof Pilarz",13436,67,360,125,1
"Piotr Celeban",13437,72,106,155,1
"Lukasz Tralka",13449,70,126,189,1
"Sebastian Przyrowski",13454,65,319,94,1
"Radoslaw Cierzniak",13471,66,331,149,2
"Arkadiusz Malarz",13472,65,325,36,1
"Maciej Mielcarz",13473,66,329,90,1
"Jaroslaw Bieniuk",13474,67,57,78,1
"Dawid Kucharski",13476,64,135,10,1
"Tomasz Lisowski",13477,69,48,82,1
"Grzegorz Wojtkowiak",13480,72,139,85,1
"Hubert Wolakiewicz",13481,68,136,153,1
"Filip Burkhardt",13483,59,131,28,1
"Marcin Kikut",13486,70,133,68,1
"Szymon Sawala",13490,61,129,83,1
"Jakub Szmatula",13494,66,337,48,1
"Mateusz Zytko",13504,60,62,96,1
"Pawel Strak",13513,70,87,45,1
"Lukasz Mierzejewski",13515,63,123,90,1
"Lukasz Piszczek",13518,83,146,175,1
"Piotr Polczak",13533,67,115,90,1
"Dawid Plizga",13538,68,112,108,1
"Vejlko Nikitovic",13549,61,70,22,1
"Tomasz Brzyski",13551,69,136,170,1
"Mariusz Pawelec",13554,66,144,144,1
"Dawid Soldecki",13557,61,53,26,1
"Liam Kelly",13917,68,113,95,1
"Paul Dixon",14039,71,132,160,1
"Alan Mannus",14100,69,341,156,1
"Roei Dayan",14487,68,52,14,1
"Maor Melikson",14521,76,54,81,2
"Gal Alberman",14533,72,156,14,1
"Dekel Keinan",14551,66,44,3,1
"Lior Rafaelov",14557,78,52,63,1
"Eden Ben Basat",14560,73,52,55,1
"Eliran Atar",14593,72,46,11,1
"Yoav Ziv",14642,67,133,28,1
"Vladimir Dvalishvili",14658,69,55,58,1
"Jasmin Buric",15361,71,348,101,1
"Edin Dzeko",15403,85,129,174,3
"Veldin Muharemovic",15425,57,119,3,1
