"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Brett Emerton",30842,77,143,62,1
"Robin van Persie",30843,89,140,172,1
"Vincenzo Grella",30849,74,152,29,1
"Zeljko Kalac",30850,77,386,1,1
"Shunsuke Nakamura",30851,86,167,36,2
"Fernando Meira",30852,85,153,12,1
"Fernando Torres",30853,88,132,168,3
"Mike Hanke",30854,78,127,74,1
"Ricardo",30855,80,406,35,2
"Paulo Ferreira",30856,83,140,27,1
"Nuno Valente",30857,78,143,1,1
"Petr Cech",30859,89,445,251,1
"Zdenek Grygera",30861,81,144,57,2
"Ricardo Cabanas",30863,77,146,39,1
"Nemanja Vidic",30865,89,149,162,2
"Ivica Dragutinovic",30866,80,137,31,1
"Anatoli Tymoschuk",30868,84,154,56,1
"Marek Jankulovski",30870,80,153,39,1
"Tiago",30871,83,151,160,2
"Bastian Schweinsteiger",30872,88,160,190,2
"Tim Cahill",30876,81,141,110,1
"Wesley Sneijder",30878,88,166,84,2
"Kew Jaliens",30879,74,109,79,2
"Arek Radomski",30880,67,144,77,2
"Alberto Gilardino",30881,85,117,226,1
"Jason Culina",30884,78,155,8,1
"John Mensah",30885,84,124,44,2
"Andrey Voronin",30886,81,137,30,2
"Xabi Alonso",30889,87,180,217,3
"Philippe Senderos",30890,81,117,90,4
"Gabriel Milito",30891,86,150,17,1
"Stewart Downing",30892,82,147,217,1
"Cristiano Ronaldo",30893,93,145,259,2
"Philipp Lahm",30894,87,155,222,1
"Aaron Lennon",30895,84,146,181,1
"Bonaventure Kalou",30896,77,134,2,1
"Kanga Akale",30897,80,134,43,2
"Hamdi Kasraoui",30899,67,330,12,1
"Kossi Agassa",30900,80,385,94,1
"Aruna Dindane",30901,83,63,18,1
"Andrea Barzagli",30902,85,150,222,2
"Pablo Ibanez",30903,83,128,31,2
"Carlos Bocanegra",30904,76,140,126,2
"Sulley Ali Muntari",30905,82,158,106,2
"Cristian Zaccardo",30906,81,141,159,2
"Jaroslav Plasil",30907,81,146,245,3
"Emerse Fae",30908,80,145,82,1
"David Villa",30909,89,155,153,1
"Ivan Leko",30910,75,160,91,1
"Ricardo Carvalho",30911,86,134,173,3
"Christoph Spycher",30912,75,132,140,2
"Ricardo Costa",30914,78,113,128,3
"Ryan Babel",30915,81,135,68,3
"Tim De Cler",30916,73,138,37,1
"David Rozehnal",30918,81,140,123,4
"Daniel Gygax",30919,74,125,90,2
"Edgar Barreto",30920,77,166,148,1
"Matthew Amoah",30921,74,133,65,1
"Arouna Kone",30922,80,116,102,3
"Franck Ribery",30924,90,146,139,1
"Nicolas Burdisso",30928,79,138,182,1
"Fabricio Coloccini",30929,81,143,211,1
"Esteban Cambiasso",30930,86,163,206,2
"Cris",30931,89,147,110,1
"Boubacar Barry Copa",30934,73,348,114,1
"Emmanuel Eboue",30935,79,135,42,1
"Xavier Margairaz",30936,79,144,95,1
"Tranquillo Barnetta",30937,81,132,112,1
"Mauro Lustrinelli",30939,73,122,66,1
"Blerim Dzemaili",30940,77,147,151,1
"Jan Polak",30949,78,156,82,2
"Gilberto",30950,84,154,1,1
"Jason Scotland",30953,72,108,26,2
"Carlos Edwards",30954,77,124,6,1
"Andres Iniesta",30955,91,161,190,1
"Clint Dempsey",30956,81,168,153,1
"Marcos Senna",30958,84,158,90,1
"Marco Zoro",30959,71,108,17,1
"Emmanuel Adebayor",30960,87,130,140,2
"Sergio Ramos",30962,87,139,237,1
"Collin Samuel",30963,64,127,36,1
"Maza",30964,77,152,74,2
"Valon Behrami",30966,80,138,182,3
"Quim",30967,81,400,83,1
"Luisao",30968,82,158,171,1
"Lukasz Fabianski",30973,78,392,102,1
"Artur Boruc",30974,84,418,201,3
"Sebastian Mila",30975,74,133,173,1
"Radoslaw Sobolewski",30976,72,147,154,1
"Dariusz Dudka",30977,72,142,143,3
"Pawel Brozek",30978,76,114,122,2
"Lionel Messi",30981,94,147,249,1
"Dusan Basta",30983,80,148,146,1
"Johan Djourou",30986,81,135,141,2
"Marcell Jansen",30987,79,148,134,1
"Kenwyne Jones",30988,79,108,112,1
"Julio Cesar",30989,89,438,202,3
"Justo Villar",30990,76,387,38,1
"Rodrigo Palacio",30991,83,168,178,1
"Oscar Ustari",30992,79,395,36,1
"Hedwiges Maduro",30994,81,152,92,2
"Fred",30995,84,138,11,1
"Cicinho",30996,80,152,20,1
"Omar Bravo",31010,78,152,2,1
"Jawhar Mnari",31011,77,152,3,1
"Abdulkader Keita",31012,82,86,13,1
"Theo Walcott",31013,82,127,131,1
"Romaric",31014,80,150,135,2
"Haminu Dramani",31018,72,136,3,1
"Seweryn Gancarczyk",31019,65,120,79,1
"Guillermo Franco",31020,78,114,21,2
"Flavio",31031,67,53,2,1
"Jacques Alaixys Romao",31037,76,136,240,1
"Andres Guardado",31045,82,155,163,3
"Guillermo Ochoa",31047,82,409,122,2
"Eddie Johnson",31052,78,144,1,1
"Segundo Castillo",31070,73,149,12,1
"Cristian Benitez",31073,79,125,21,1
"Won-Hee Cho",31085,67,143,2,1
"Do-Heon Kim",31088,72,144,9,1
"Chu-Young Park",31092,79,141,97,2
"Luka Modric",31097,88,147,224,2
"Yassine Chikhaoui",31100,78,123,64,1
"Paulo da Silva",31103,79,148,50,2
"Cristian Riveros",31104,76,160,5,1
"Jim Larsen",31160,75,123,12,1
"Tomas Galasek",31187,83,155,15,1
"Aleksei Kangaskolkka",31191,62,49,1,1
"Stefan Kiessling",31199,81,132,224,1
"Nicky Hofs",31205,74,123,64,1
"Marino Defendi",31207,68,146,10,1
"Matteo Ferrari",31214,78,143,33,1
"Geert De Vlieger",31226,74,360,10,1
"Diego",31235,88,159,160,3
"Henrik Dalsgaard",31241,70,104,9,1
"Cicero",31244,78,144,75,1
"Akpo Sodje",31255,69,130,13,1
"Madjid Bougherra",31257,79,131,80,1
"Fabio Liverani",31288,82,173,56,1
"Sascha Riether",31290,76,145,215,2
"Gael Clichy",31291,83,152,193,1
"Yoan Gouffran",31292,77,137,178,2
"Steve Mandanda",31293,84,421,300,1
"Niki Zimling",31294,74,151,88,4
"Ramon Zomer",31296,70,151,179,1
"Bruno Amaro",31298,71,147,114,1
"Daniel Fernandes",31299,77,376,32,1
"Rolando",31300,80,141,151,4
"Pedro Ribeiro",31302,65,60,26,1
"Nelson",31303,73,145,126,3
"Alessandro Rosina",31304,79,148,56,1
"Branislav Ivanovic",31306,83,136,234,1
"Dejan Milovanovic",31307,69,142,9,1
"Djordje Rakic",31308,66,120,1,1
"Ivan Todorovic 25",31310,68,144,25,1
"Milan Stepanov",31312,76,135,13,2
"Milos Krasic",31314,84,141,60,3
"Nemanja Rnic",31316,66,129,8,1
"Nenad Milijas",31317,74,153,38,1
"Stefan Babovic",31318,70,103,15,3
"Milos Pavlovic",31319,66,121,5,1
"Sergei Pylypchuk",31325,68,62,39,1
"Hakan Yakin",31427,74,149,76,1
"Joe Hart",31432,85,414,275,1
"Tomas Rosicky",31435,85,154,70,1
"Dennis Wyness",31436,67,119,17,1
"Ugo Ukah",31437,65,52,77,1
"David Sommeil",31451,75,118,1,1
"Sekou Baradji",31453,63,107,15,2
"Trent McClenahan",31454,65,133,43,1
"Tim Howard",31465,84,418,282,1
"Andrea Guatelli",31470,66,336,31,1
"Maurice Ross",31479,65,129,11,1
"Gustavo Franchin Schiavolin",31490,70,111,19,1
"Cleber Santana",31498,78,148,33,1
"Nicola Mingazzini",31499,66,114,40,1
"Soeren Rieks",31568,70,124,51,1
"Maicosuel",31614,77,145,39,2
"Pontus Wernbloom",31627,79,131,60,1
"David Elm",31643,72,125,3,1
"Alexander Farnerud",31672,75,130,108,2
"Abdeslam Ouaddou",31684,78,150,43,1
"Mikael Lustig",31701,75,129,65,1
"Nelson Haedo Valdez",31718,78,133,78,2
"Mario Alberto Santana",31725,79,155,102,2
"Karl Svensson",31728,71,115,1,1
"Gianni Zuiverloon",31731,72,138,121,3
"Cristiano Zanetti",31739,82,172,37,1
"Emil Johansson",31785,70,131,5,1
"Antti Okkonen",31810,60,143,4,1
"Salomon Kalou",31906,84,135,164,3
"Andrew Johnson",31907,85,112,67,1
"Denes Rosa",31909,58,130,10,1
"Theo Robinson",31915,66,125,2,1
"Adam Rooney",31916,71,53,114,1
"Gareth Bale",31921,87,159,203,2
"Rob Friend",31936,74,103,34,1
"Marco Cassetti",31938,77,154,73,1
"Cameron Jerome",31953,78,141,116,1
"Kevin McNaughton",31963,71,156,3,1
"James Wesolowski",31984,64,134,34,1
"Jermaine Beckford",31989,76,106,15,1
"Darryl Duffy",31993,67,95,2,1
"Andriy Shevchenko",31996,88,130,2,1
"Bruno Vale",32034,74,368,17,1
"Paulo Santos",32039,71,351,30,1
"Jose Gomes de Moraes Edmilson",32043,81,162,24,1
"Mineiro",32048,80,147,5,1
"Jamie Mackie",32084,71,117,41,1
"Dean Moxey",32087,68,134,18,1
"Daniel Seaborne",32088,65,114,49,1
"Lukas Podolski",32118,87,137,148,3
"Michael Kightly",32148,75,147,42,1
"Steven Smith",32200,71,125,48,1
"George Boyd",32304,72,108,44,1
"Kelvin Wilson",32318,71,108,46,1
"David McNamee",32323,69,109,9,1
"Markus Neumayr",32343,67,50,62,1
"John Obi Mikel",32345,83,149,152,1
"Michael Hart",32410,76,136,22,1
"Russell Anderson",32411,72,133,63,1
"Scott Severin",32412,75,159,66,1
"Barry Nicholson",32413,75,148,14,1
"Steve Lovell",32414,74,92,25,1
"Chris Clark",32415,66,145,22,1
"Jamie Langfield",32418,72,361,194,1
"Andrew Considine",32419,69,141,194,1
"Christopher Maguire",32421,69,130,65,1
"Darren Mackie",32427,77,122,61,1
"Richard Foster",32430,67,139,128,1
"Zander Diamond",32436,73,148,73,1
"Gareth McAuley",32441,75,120,158,1
"David Marshall",32446,75,371,37,1
"Michael McGlinchey",32447,68,131,1,1
"Aiden McGeady",32448,83,143,70,2
"Darren O'Dea",32449,70,118,39,1
"Simon Ferry",32450,63,138,14,1
"Mark Kerr",32453,68,115,87,1
"Barry Robson",32455,80,154,54,1
"Stuart Duff",32456,65,116,54,1
"Lee Mair",32457,73,133,150,1
"Garry Kenneth",32458,69,130,94,1
"David Goodwillie",32465,75,113,109,2
"Chris Innes",32474,63,119,28,1
"David McCracken",32484,67,129,42,1
"Jim Paterson",32485,65,150,7,1
"Allan McGregor",32496,80,397,187,2
"Gary Mason",32503,62,102,57,1
"Jorge Ribeiro",32504,72,142,16,1
"Pedro da Silva Moutinho 28",32546,65,117,27,2
"Alan Gow",32547,71,140,17,1
"Darren Barr",32553,68,133,144,1
"Steven Thomson",32555,66,150,85,1
"Mark Twaddle",32556,57,96,30,1
"Liam Craig",32559,69,143,179,1
"Brian Allison",32561,61,128,4,1
"Craig Gordon",32562,81,405,122,2
"Robbie Neilson",32563,73,163,46,1
"Camel Meriem",32566,79,124,79,1
"Paul Hartley",32567,78,149,43,1
"Patrice Evra",32569,85,158,248,2
"Roman Bednar",32570,75,136,13,1
"Franck Jurietti",32571,77,136,17,1
"Ludovic Giuly",32572,87,153,89,1
"Olivier Dacourt",32573,76,145,3,1
"Jonathan Zebina",32574,76,144,104,2
"Rio Mavuba",32575,82,159,254,1
"Saulius Mikoliunas",32576,69,140,6,1
"Bernard Mendy",32577,73,88,60,2
"Jerome Rothen",32578,85,158,64,2
"Anthony Reveillere",32579,81,143,171,3
"Deividas Cesnauskis",32580,65,154,2,1
"Christophe Berra",32581,76,136,115,2
"Lee Wallace",32583,74,137,101,1
"Jamie MacDonald",32584,70,353,150,1
"Ibrahim Tall",32587,68,97,45,2
"Jose Goncalves",32589,71,86,40,2
"Bruno Aguiar",32591,66,133,26,1
"Andrew Driver",32593,78,143,100,2
"Benjamin Huggel",32596,73,131,92,1
"Reto Ziegler",32597,78,150,136,2
"Steven Pressley",32609,77,130,15,1
"Steven Whittaker",32616,76,154,147,2
"Michael Stewart",32617,71,152,58,1
"Kevin Thomson",32618,77,164,82,1
"Sam Morrow",32620,60,110,17,1
"Guillaume Beuzelin",32621,75,161,3,1
"Chris Hogg",32622,71,116,92,1
"Ivan Sproule",32624,66,127,49,1
"Steven Fletcher",32627,77,128,191,3
"Lewis Stevenson",32630,65,123,126,1
"Zbigniew Malkowski",32633,66,323,139,1
"Sean Lynch",32636,55,120,11,1
"Abdessalam Benjelloun",32637,72,102,11,2
"Hans-Joerg Butt",32653,79,398,62,1
"Antonio Lopez",32656,76,142,70,1
"Victor Valdes",32657,85,425,203,3
"Mark Brown",32658,72,361,115,1
"Ross Tokely",32659,67,116,111,1
"Darren Dods",32661,70,133,45,1
"Roy McBain",32664,63,126,21,1
"Barry Wilson",32665,66,135,1,1
"Russell Duncan",32669,64,119,45,1
"Grant Munro",32670,71,89,109,1
"Richard Hastings",32673,65,135,39,1
"Craig Dargo",32674,77,115,39,1
"Cata Diaz",32675,83,151,142,1
"German Dario Lux",32678,76,383,53,1
"Michael Fraser",32679,63,324,55,1
"Ian Black",32681,68,144,108,1
"Stein Huysegems",32690,71,127,25,2
"Alan Combe",32693,68,337,37,1
"James Fowler",32694,72,143,136,1
"Garry Hay",32696,67,135,98,1
"David Lilley",32697,66,133,20,1
"Simon Ford",32700,70,116,49,1
"Danny Invincibile",32703,69,117,48,1
"Steven Naismith",32705,85,129,123,2
"Colin Nish",32706,75,128,82,1
"Jamie Hamill",32711,70,135,192,1
"Cameron Bell",32713,70,343,115,1
"Jamie Adams",32714,58,43,15,1
"Ryan O'Leary",32717,63,66,43,1
"David Mackay",32725,68,119,223,1
"Robert Snodgrass",32728,75,129,65,1
"Martin Scott",32730,64,53,24,1
"James McPake",32732,66,127,91,1
"Graham Dorrans",32734,76,168,103,1
"Ivica Banovic",32745,73,152,23,1
"Morgan De Sanctis",32746,83,404,220,1
"Fabrizio Miccoli",32747,83,146,125,1
"Antonio Cassano",32748,86,163,179,1
"Marco Di Vaio",32749,84,125,133,1
"Mauro Esposito",32750,77,152,11,1
"Massimo Ambrosini",32751,83,156,115,1
"Giuseppe Favalli",32752,77,147,36,1
"Milivoje Vitakic",32755,68,135,39,1
"Milos Maric",32760,76,139,119,2
"Ruben Baraja",32761,82,159,29,1
"Vicente",32762,88,149,16,1
"Alberto Luque 21",32763,79,141,21,1
"Raul Tamudo",32764,84,140,64,1
"Jose Maria Guti",32765,84,161,23,1
"Ivan de la Pena",32766,85,159,19,1
"Paolo Cannavaro",32769,80,141,228,1
"Issam Jemaa",32776,70,134,48,1
"Robert Jones",32786,71,102,32,1
"Joshua Kennedy",32788,71,146,19,1
"Martyn Corrigan",32824,60,150,1,1
"Brian Kerr",32825,69,142,10,1
"Scott McDonald",32826,83,118,94,1
"Richie Foran",32827,69,85,130,1
"David Clarkson",32829,72,123,48,1
"Steven McGarry",32830,64,126,16,1
"Kevin McBride",32831,64,133,80,1
"Paul Quinn",32833,68,139,84,1
"Marc Fitzpatrick",32836,69,141,36,1
"Mark Reynolds",32844,74,145,235,1
"Alan Martin",32845,60,312,1,1
"Thomas Buffel",32863,78,142,156,1
"Nacho Novo",32865,74,128,48,3
"Gavin Rae",32866,71,148,46,1
"Kris Boyd",32867,86,115,117,1
"Julien Rodriguez",32868,79,141,5,1
"Alan Hutton",32870,79,145,135,2
"Ian Murray",32871,75,159,84,1
"Steven McDougall",32880,59,40,2,1
"Danny Grainger",32891,69,112,125,1
"Neil McGregor",32906,60,45,5,1
"Craig Bryson",32907,73,145,97,1
"Mark McLaughlin",32917,66,118,80,1
"Rasmus Bengtsson",32920,73,123,83,2
"Alex Neil",32924,69,135,70,1
"Paul Burns",32931,57,56,21,1
"Willie Gibson",32932,61,106,11,1
"Christian Poulsen",32937,83,164,101,4
"Don Cowie",32942,72,138,38,2
"Willie Dyer",32951,59,43,18,1
"Kevin Rutkiewicz",32952,62,113,19,1
"Martin Hardie",32955,65,131,22,1
"Simon Mensing",32956,69,128,100,1
"Kevin Moon",32957,62,130,27,1
"Peter MacDonald",32960,61,114,21,1
"Steven Milne",32961,67,118,22,1
"Kirk Broadfoot",32964,71,134,55,1
"John Potter",32968,75,148,117,1
"David van Zanten",32969,67,140,131,1
"Mark Corcoran",32971,66,70,5,1
"Simon Lappin",32973,66,142,37,2
"Hugh Murray",32975,64,151,85,1
"Billy Mehmet",32978,63,124,63,1
"Nicolas Ardouin",32990,64,314,9,1
"Enrique de Lucas",32995,74,156,6,1
"Mehdi Lacen",32999,76,143,195,1
"Arthuro",33000,73,96,2,1
"Daniel Aranzubia",33018,79,397,141,1
"Ander Murillo",33021,75,126,1,1
"Luis Prieto",33022,74,136,47,1
"Carlos Gurpegi",33024,79,141,152,1
"Andoni Iraola",33025,80,146,217,1
"Ustaritz",33027,73,143,46,2
"Aritz Aduriz",33028,82,133,216,1
"Fernando Llorente",33030,83,132,202,2
"Berry Powel",33039,69,57,16,1
"Stephen Kelly",33045,73,157,54,1
"Darren Pratley",33048,72,140,14,1
"Lee Bowyer",33049,78,144,62,1
"Enoch Showunmi",33060,64,96,15,1
"Karim Guede",33065,71,39,48,1
"Eidur Gudjohnsen",33074,86,142,38,4
"Zak Whitbread",33076,70,130,18,1
"Umut Bulut",33080,77,107,17,1
"Mario Cvitanovic",33082,69,129,23,1
"Daniel van Buyten",33085,87,140,96,1
"Joleon Lescott",33086,82,139,194,1
"Peter Kovacs",33098,70,112,15,1
"Chaouki Ben Saada",33100,72,132,50,1
"Jose Paolo Guerrero",33101,78,133,69,1
"Nicolas Marin",33107,71,136,45,1
"Stephane Noro",33108,72,141,17,1
"Laurent Pionnier",33109,74,372,41,1
"Fatih Atik",33114,69,120,18,1
"Stephane Darbion",33116,68,134,40,1
"Nicolas Godemeche",33117,70,152,66,2
"Thierry Gathuessi",33118,65,131,1,1
"Sylvain Marchal",33122,73,138,151,1
"Didier Digard",33128,76,136,151,3
"Olivier Blondel",33129,70,345,15,1
"Stephen Ward",33138,73,138,90,1
"Peter Jehle",33272,67,321,64,1
"Daniel Ziebig",33285,67,132,27,1
"Jonathan Spector",33312,72,133,36,1
"Michael Chopra",33316,77,129,1,1
"Danny Wintjens",33330,66,320,3,1
"Julian Jenner",33331,75,122,22,1
"David Mendes",33335,74,149,36,1
"Mimoun Azaouagh",33336,74,146,39,1
"Fabio Simplicio",33337,78,153,83,1
"Dennis Aogo",33338,77,137,172,1
"Gerhard Tremmel",33339,76,369,60,2
"Dennis Kruppke",33342,71,90,6,1
"Romain Poyet",33344,72,134,47,1
"Roda Antar",33348,71,132,15,1
"Elliott L. Ward",33408,69,127,12,1
"Marco Pisano",33413,75,146,24,1
"Pietro Accardi",33414,80,148,39,1
"Djibril Cisse",33418,84,124,72,3
"Yohann Poulard",33420,70,140,91,1
"Jimmy Kebe",33421,71,118,18,1
"Guillermo Rodriguez",33422,75,54,61,1
"Matt Moussilou",33424,75,104,55,2
"Romain Salin",33431,75,366,131,1
"Toifilou Maoulida",33433,76,126,52,1
"Jerko Leko",33435,74,151,20,1
"Nourdin Boukhari",33436,75,140,46,2
"Vladimir Stojkovic",33439,78,407,9,2
"Yoann Bigne",33440,67,138,4,1
"Florian Jarjat",33444,69,128,25,1
"Sebastien Roudet",33446,74,146,122,1
"Rudy Haddad",33448,69,138,5,1
"Alaeddine Yahia",33451,72,125,107,1
"Yohan Lachor 29",33452,65,134,29,1
"Karim Ziani",33464,77,142,34,2
"Stephane Sessegnon",33468,83,146,214,2
"Tom Starke",33473,77,378,63,1
"Philipp Haastrup",33488,65,50,31,1
"Mourad Meghni",33544,76,139,13,1
"Ronan Le Crom",33546,79,394,16,1
"Romuald Peiser",33550,75,371,104,1
"Gary McDonald",33553,62,148,106,1
"Morten Nordstrand",33578,72,112,10,1
"Oscar Wendt",33579,78,154,97,1
"Jiri Jarosik",33582,77,150,56,1
"Alvaro Rubio",33586,76,169,112,1
"Haris Medunjanin",33588,75,114,32,1
"Mario Cantaluppi 25",33595,70,141,25,1
"Daniel Moreira",33599,81,111,33,1
"Francisco Javier Martos",33605,70,60,85,1
"Ruben",33607,75,133,46,1
"Paco Pena",33609,72,148,28,1
"Diego Camacho",33611,72,115,43,1
"Ian Harte",33615,74,153,15,1
"Lionel Letizi",33617,72,362,17,1
"Laurent Courtois",33619,73,134,45,1
"Jelle van Damme",33620,75,141,123,2
"Sherjill MacDonald",33622,70,129,69,1
"Goran Lovre",33625,74,143,40,1
"Ivan Cuellar",33630,76,388,64,1
"Maxi Rodriguez",33632,84,152,86,2
"Martin Petrov",33633,83,146,60,1
"Juan Valera",33634,76,142,146,1
"Gabi",33635,82,157,230,1
"Luis Perea",33636,82,126,90,1
"Peter Luccin",33637,80,130,19,2
"Samuel Eto'o",33639,89,144,133,3
"Maxi Lopez",33640,78,146,102,1
"Santiago Ezquerro",33641,76,142,8,1
"Antonio Doblas",33644,74,361,18,2
"Vincent Pericard",33650,65,128,1,1
"Arturo Arzu",33655,71,145,34,1
"Bjoern Vleminckx",33657,73,138,94,2
"Olivier Fontenette",33660,58,131,4,1
"Tim Smolders",33662,71,156,90,1
"Jesus Capi",33665,75,156,24,1
"Miguel Angel",33666,70,139,16,1
"Francisco Munoz Xisco 18",33668,75,128,18,1
"Vincent Provoost",33671,61,124,35,1
"Peter Mollez",33676,61,307,8,1
"Johan Vonlanthen",33681,78,116,22,1
"Cees Paauwe",33682,68,335,24,1
"Evander Sno",33683,73,104,58,2
"Ibrahim Kargbo",33684,70,139,29,1
"Mohamed Messoudi",33685,68,141,64,2
"Marco Engelhardt",33686,76,136,10,1
"Ousmane Dabo",33687,76,123,21,1
"Jeremy Gavanon",33688,70,356,4,1
"Noel Hunt",33692,71,104,10,1
"Craig Conway",33693,74,132,78,1
"Steven Robb",33696,65,149,26,1
"Felipe Morais",33697,65,96,29,1
"Paolo Sammarco",33706,78,160,99,1
"Abraham Paz Cruz",33715,75,148,29,1
"Jonathan Sesma",33729,76,147,46,1
"Esteban",33731,76,378,51,1
"Jose Manuel Pinto",33732,78,384,30,1
"Angel Lopez",33733,76,144,82,1
"Yoann Gourcuff",33744,85,162,137,1
"Borja Oubina",33747,75,146,60,1
"Gustavo Adolfo Munua",33753,76,391,125,1
"Justin Hoyte",33754,72,120,17,1
"Manuel Pablo",33756,78,152,117,1
"Julian de Guzman",33758,77,152,17,1
"Aldo Pedro Duscher",33759,77,136,46,1
"Juan Carlos Valeron",33761,86,150,58,1
"Angel Javier Arizmendi",33762,75,126,50,2
"Gorka Iraizoz Moreno",33764,81,404,286,1
"David Garcia",33767,70,147,51,1
"Daniel Jarque",33768,77,133,36,1
"Eduardo Costa",33769,75,162,14,1
"Christian Eigler",33772,72,126,51,1
"Ferran Corominas",33773,75,140,76,1
"Javier Paredes",33775,74,135,82,1
"Daniel Guiza",33778,83,127,15,1
"Craig Bellamy",33781,82,130,71,1
"Jeremy Menez",33782,82,140,151,2
"Somen Tchoyi",33790,74,130,13,1
"Andreas Hinkel",33792,77,159,68,2
"Hugo Alcantara",33793,66,44,4,1
"Edinho",33800,75,130,40,2
"Bartosz Lawa 25",33804,67,108,76,1
"Ruben Martin Pulido",33805,77,135,20,1
"Marcin Kus",33807,65,152,18,1
"Sebastien Squillaci",33812,83,133,151,3
"Sylvain Monsoreau",33813,80,121,44,1
"Sammy Traore",33814,77,126,38,1
"Massimo Gobbi",33816,76,157,201,1
"Reginaldo",33817,71,136,27,1
"Angel Manuel Vivar Dorado",33820,79,146,17,1
"Zdenek Pospech",33823,75,135,90,1
"Francesco Arnau",33826,70,353,20,1
"Inaki Goitia",33827,75,366,26,1
"Cesar Navas",33828,76,146,19,1
"Antonio Hidalgo",33832,71,139,4,1
"Alexandre Geijo",33840,74,135,23,2
"Jesus Gamez",33843,79,133,196,1
"Saul",33844,71,146,8,1
"Miguel Angel Moya",33845,81,408,146,1
"Sergio Ballesteros",33847,77,136,98,1
"Fernando Navarro",33848,77,146,227,1
"Jose Carlos Nunes",33849,78,147,130,1
"Angelos Basinas",33850,78,161,13,2
"Guillermo Ariel Pereyra",33851,71,140,4,1
"Jonas Gutierrez",33852,79,161,140,2
"Tuni",33854,74,153,7,1
"Ivan Ramis",33856,77,155,159,2
"Thorstein Helstad",33857,76,117,38,1
"Enrique Corrales",33861,75,154,29,1
"Carlos Cuellar",33863,81,141,117,1
"Miguel Flano",33865,76,147,151,1
"David Lopez",33866,80,148,53,1
"Ludovic Delporte",33867,74,148,1,1
"Inaki Munoz",33869,74,143,2,1
"Patxi Martinez Punal",33870,79,147,154,1
"Raul Garcia",33871,81,150,159,1
"Valdo",33872,79,156,77,1
"Jose Josetxo",33874,78,138,34,1
"Jonathan Walters",33881,75,127,176,1
"Jose Moraton",33884,75,141,20,1
"Oriol",33885,75,94,22,1
"Sergio Matabuena",33887,72,147,30,1
"Felipe Melo",33888,83,157,106,1
"Cristian Portilla",33889,67,152,3,1
"Juanjo",33891,67,138,4,1
"Oscar Serrano",33892,76,159,66,1
"Ayoze Diaz Diaz",33893,74,151,78,1
"Borja Neru",33895,69,138,18,1
"Pablo Pinillos",33896,74,145,66,1
"Raul Bravo",33898,75,154,18,2
"Alex Keddie",33913,59,57,36,1
"Craig Samson",33914,68,332,162,1
"Garry Brady",33915,65,141,53,1
"Sidi Yaya Keita",33929,74,132,30,2
"Seid Khiter",33930,69,115,1,1
"Fitz Hall",33931,74,113,11,1
"Danny Pugh",33941,70,151,15,1
"Jason Brown",33948,69,345,27,2
"Christopher Mitchell",33954,56,87,8,1
"Christian Nade",33956,68,96,39,1
"Asier Riesgo",33958,74,367,75,1
"Ion Ansotegi",33959,75,124,87,1
"Mikel Gonzalez",33960,79,132,140,1
"Mikel Labaka",33961,74,128,28,1
"Javier Garrido",33963,76,149,92,3
"Mikel Alonso",33964,75,146,21,1
"Dalibor Stevanovic",33967,74,161,78,2
"Xabier Prieto",33973,80,153,172,1
"Robinho",33974,87,143,108,2
"Andres Palop",33986,85,421,115,1
"Daniel Alves",33988,86,169,225,1
"Frederic Kanoute",33989,84,134,80,1
"Julien Escude",33990,81,149,100,1
"Jesus Navas",33991,86,148,217,2
"Adriano",33992,79,147,132,1
"Aitor Ocio",33993,77,138,34,1
"Mikel Eizaguirre Aranburu",33997,74,142,53,1
"Enzo Maresca",34000,81,53,71,2
"Ludovic Butelle",34003,76,386,42,2
"Roberto Fabian Ayala",34005,86,131,13,1
"Miguel",34007,80,157,78,1
"Emiliano Moretti",34008,78,150,218,2
"Marco Caneira",34021,74,143,15,1
"Mohamed Dahmane",34025,67,128,9,1
"Raul Albiol",34029,83,137,196,2
"Michael Wiggers",34031,58,126,4,1
"Matias Emilio Delgado",34035,80,111,61,1
"Glen Johnson",34036,81,147,208,1
"Ireneusz Jelen",34037,81,136,87,2
"Fabrice Ehret",34045,74,137,94,2
"Roland Baettig",34052,65,50,78,1
"Baykal Kulaksizoglu",34054,71,145,21,1
"Alexandre Quennoz",34055,63,128,6,1
"Tariq Chihab",34066,67,125,23,1
"Aleksandar Mitreski",34067,71,130,17,1
"Moreno Merenda",34075,64,126,16,1
"Didier Crettenand",34079,63,95,43,1
"Marco Schneuwly",34082,69,119,166,1
"Bruno Sutter",34086,54,119,8,1
"Bruno Cheyrou",34101,72,137,20,1
"Alexander Frei",34102,81,112,116,2
"Mariano Pernia",34103,75,148,25,1
"Ze Castro",34104,78,142,130,1
"Luis Fabiano",34106,86,125,55,1
"Pavel Pardo",34112,84,166,9,1
"Ricardo Osorio",34113,79,141,23,1
"Roberto Hilbert",34114,80,145,83,1
"Francis Jeffers",34170,70,99,8,1
"Jason Roberts",34176,76,98,61,1
"Kenny Miller",34177,78,123,71,1
"Didier Zokora",34182,81,168,66,2
"Ricardo Faty",34183,71,130,84,3
"Roger Johnson",34193,78,139,104,1
"Mikele Leigertwood",34194,69,124,29,1
"Sean O'Hanlon",34206,67,144,22,1
"Ryan Esson",34213,62,309,119,1
